Geography,Time arriving a,Main mode of co,Total - Commuting duration
0009.01 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",25.0
0009.01 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,10.0
0009.01 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,30.0
0009.01 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0009.02 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",490.0
0009.02 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",30.0
0009.02 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,0.0
0009.02 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,15.0
0009.02 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0010.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",810.0
0010.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",40.0
0010.00 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,15.0
0010.00 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,45.0
0010.00 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",10.0
0011.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",695.0
0011.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",55.0
0011.00 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,15.0
0011.00 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,85.0
0011.00 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0012.01 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",285.0
0012.01 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0012.01 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,0.0
0012.01 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,40.0
0012.01 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0012.02 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",140.0
0012.02 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0012.02 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,10.0
0012.02 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,25.0
0012.02 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0013.01 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",X
0013.01 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",X
0013.01 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,X
0013.01 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,X
0013.01 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",X
0013.02 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",860.0
0013.02 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",100.0
0013.02 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,0.0
0013.02 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,90.0
0013.02 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0014.01 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",2415.0
0014.01 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",305.0
0014.01 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,35.0
0014.01 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,100.0
0014.01 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",25.0
0014.02 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",600.0
0014.02 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",120.0
0014.02 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,0.0
0014.02 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,50.0
0014.02 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0100.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",875.0
0100.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",135.0
0100.00 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,40.0
0100.00 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,170.0
0100.00 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0101.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",4130.0
0101.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",465.0
0101.00 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,180.0
0101.00 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,170.0
0101.00 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0102.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",830.0
0102.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",155.0
0102.00 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,30.0
0102.00 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,60.0
0102.00 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0103.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",1695.0
0103.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",80.0
0103.00 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,35.0
0103.00 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,115.0
0103.00 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",880.0
0104.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",85.0
0104.00 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,30.0
0104.00 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,90.0
0104.00 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0105.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",270.0
0105.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",15.0
