Geography,Time arriving a,Main mode of co,Total - Commuting duration
0104.50 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",130.0
0104.50 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0104.50 - Edmonton,Total - Time arriving at work,    Public transit,20.0
0104.50 - Edmonton,Total - Time arriving at work,    Active transportation,0.0
0104.50 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.51 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",50.0
0104.51 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",15.0
0104.51 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0104.51 - Edmonton,Total - Time arriving at work,    Active transportation,0.0
0104.51 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.52 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",55.0
0104.52 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",15.0
0104.52 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0104.52 - Edmonton,Total - Time arriving at work,    Active transportation,0.0
0104.52 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.53 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",815.0
0104.53 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",115.0
0104.53 - Edmonton,Total - Time arriving at work,    Public transit,75.0
0104.53 - Edmonton,Total - Time arriving at work,    Active transportation,85.0
0104.53 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.54 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",X
0104.54 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",X
0104.54 - Edmonton,Total - Time arriving at work,    Public transit,X
0104.54 - Edmonton,Total - Time arriving at work,    Active transportation,X
0104.54 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",X
0104.55 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",45.0
0104.55 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0104.55 - Edmonton,Total - Time arriving at work,    Public transit,10.0
0104.55 - Edmonton,Total - Time arriving at work,    Active transportation,15.0
0104.55 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.56 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",20.0
0104.56 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0104.56 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0104.56 - Edmonton,Total - Time arriving at work,    Active transportation,0.0
0104.56 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.57 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",2970.0
0104.57 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",250.0
0104.57 - Edmonton,Total - Time arriving at work,    Public transit,165.0
0104.57 - Edmonton,Total - Time arriving at work,    Active transportation,40.0
0104.57 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.58 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",1455.0
0104.58 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",100.0
0104.58 - Edmonton,Total - Time arriving at work,    Public transit,80.0
0104.58 - Edmonton,Total - Time arriving at work,    Active transportation,75.0
0104.58 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.59 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",200.0
0104.59 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",25.0
0104.59 - Edmonton,Total - Time arriving at work,    Public transit,10.0
0104.59 - Edmonton,Total - Time arriving at work,    Active transportation,15.0
0104.59 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.60 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",80.0
0104.60 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0104.60 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0104.60 - Edmonton,Total - Time arriving at work,    Active transportation,10.0
0104.60 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.61 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",685.0
0104.61 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",65.0
0104.61 - Edmonton,Total - Time arriving at work,    Public transit,15.0
0104.61 - Edmonton,Total - Time arriving at work,    Active transportation,55.0
0104.61 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.62 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",435.0
0104.62 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",30.0
0104.62 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0104.62 - Edmonton,Total - Time arriving at work,    Active transportation,0.0
0104.62 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.63 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",125.0
0104.63 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0104.63 - Edmonton,Total - Time arriving at work,    Public transit,10.0
0104.63 - Edmonton,Total - Time arriving at work,    Active transportation,25.0
0104.63 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.64 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",320.0
0104.64 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",60.0
0104.64 - Edmonton,Total - Time arriving at work,    Public transit,60.0
0104.64 - Edmonton,Total - Time arriving at work,    Active transportation,25.0
0104.64 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.65 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",360.0
0104.65 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",40.0
0104.65 - Edmonton,Total - Time arriving at work,    Public transit,35.0
0104.65 - Edmonton,Total - Time arriving at work,    Active transportation,55.0
0104.65 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.66 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",80.0
0104.66 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0104.66 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0104.66 - Edmonton,Total - Time arriving at work,    Active transportation,10.0
0104.66 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.67 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",535.0
0104.67 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",70.0
0104.67 - Edmonton,Total - Time arriving at work,    Public transit,35.0
0104.67 - Edmonton,Total - Time arriving at work,    Active transportation,15.0
0104.67 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.68 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",95.0
0104.68 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0104.68 - Edmonton,Total - Time arriving at work,    Public transit,10.0
0104.68 - Edmonton,Total - Time arriving at work,    Active transportation,10.0
0104.68 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.69 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",40.0
0104.69 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0104.69 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0104.69 - Edmonton,Total - Time arriving at work,    Active transportation,0.0
0104.69 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.70 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",475.0
0104.70 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",25.0
0104.70 - Edmonton,Total - Time arriving at work,    Public transit,35.0
0104.70 - Edmonton,Total - Time arriving at work,    Active transportation,25.0
0104.70 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.71 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",755.0
0104.71 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",80.0
0104.71 - Edmonton,Total - Time arriving at work,    Public transit,25.0
0104.71 - Edmonton,Total - Time arriving at work,    Active transportation,50.0
0104.71 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.72 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",140.0
0104.72 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",20.0
0104.72 - Edmonton,Total - Time arriving at work,    Public transit,20.0
0104.72 - Edmonton,Total - Time arriving at work,    Active transportation,15.0
0104.72 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.73 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",1765.0
0104.73 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",235.0
0104.73 - Edmonton,Total - Time arriving at work,    Public transit,175.0
0104.73 - Edmonton,Total - Time arriving at work,    Active transportation,100.0
0104.73 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.74 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",330.0
0104.74 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0104.74 - Edmonton,Total - Time arriving at work,    Public transit,20.0
0104.74 - Edmonton,Total - Time arriving at work,    Active transportation,10.0
0104.74 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.75 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",520.0
0104.75 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",65.0
0104.75 - Edmonton,Total - Time arriving at work,    Public transit,40.0
0104.75 - Edmonton,Total - Time arriving at work,    Active transportation,70.0
0104.75 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.76 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",40.0
0104.76 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0104.76 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0104.76 - Edmonton,Total - Time arriving at work,    Active transportation,0.0
0104.76 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.77 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",145.0
0104.77 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0104.77 - Edmonton,Total - Time arriving at work,    Public transit,30.0
0104.77 - Edmonton,Total - Time arriving at work,    Active transportation,0.0
0104.77 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.78 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",60.0
0104.78 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0104.78 - Edmonton,Total - Time arriving at work,    Public transit,10.0
0104.78 - Edmonton,Total - Time arriving at work,    Active transportation,10.0
0104.78 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.79 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",125.0
0104.79 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",20.0
0104.79 - Edmonton,Total - Time arriving at work,    Public transit,10.0
0104.79 - Edmonton,Total - Time arriving at work,    Active transportation,45.0
0104.79 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.80 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",50.0
0104.80 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0104.80 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0104.80 - Edmonton,Total - Time arriving at work,    Active transportation,10.0
0104.80 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.81 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",150.0
0104.81 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0104.81 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0104.81 - Edmonton,Total - Time arriving at work,    Active transportation,30.0
0104.81 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.82 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",205.0
0104.82 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0104.82 - Edmonton,Total - Time arriving at work,    Public transit,10.0
0104.82 - Edmonton,Total - Time arriving at work,    Active transportation,25.0
0104.82 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.83 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",85.0
0104.83 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0104.83 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0104.83 - Edmonton,Total - Time arriving at work,    Active transportation,15.0
0104.83 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0104.84 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",890.0
0104.84 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",70.0
0104.84 - Edmonton,Total - Time arriving at work,    Public transit,20.0
0104.84 - Edmonton,Total - Time arriving at work,    Active transportation,70.0
0104.84 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",10.0
0105.03 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",140.0
0105.03 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0105.03 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0105.03 - Edmonton,Total - Time arriving at work,    Active transportation,25.0
0105.03 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0105.04 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",310.0
0105.04 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",15.0
0105.04 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0105.04 - Edmonton,Total - Time arriving at work,    Active transportation,20.0
0105.04 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0105.05 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",205.0
0105.05 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0105.05 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0105.05 - Edmonton,Total - Time arriving at work,    Active transportation,0.0
0105.05 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0105.06 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",300.0
0105.06 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",30.0
0105.06 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0105.06 - Edmonton,Total - Time arriving at work,    Active transportation,30.0
0105.06 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0106.02 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",3020.0
0106.02 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",85.0
0106.02 - Edmonton,Total - Time arriving at work,    Public transit,10.0
0106.02 - Edmonton,Total - Time arriving at work,    Active transportation,45.0
0106.02 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0106.03 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",4710.0
0106.03 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",285.0
0106.03 - Edmonton,Total - Time arriving at work,    Public transit,55.0
0106.03 - Edmonton,Total - Time arriving at work,    Active transportation,190.0
0106.03 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0106.04 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",285.0
0106.04 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",20.0
0106.04 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0106.04 - Edmonton,Total - Time arriving at work,    Active transportation,30.0
0106.04 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0110.01 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",135.0
0110.01 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0110.01 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0110.01 - Edmonton,Total - Time arriving at work,    Active transportation,0.0
0110.01 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0110.02 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",690.0
0110.02 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",60.0
0110.02 - Edmonton,Total - Time arriving at work,    Public transit,10.0
0110.02 - Edmonton,Total - Time arriving at work,    Active transportation,60.0
0110.02 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0111.00 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",2485.0
0111.00 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",55.0
0111.00 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0111.00 - Edmonton,Total - Time arriving at work,    Active transportation,20.0
0111.00 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0120.01 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",1765.0
0120.01 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",110.0
0120.01 - Edmonton,Total - Time arriving at work,    Public transit,45.0
0120.01 - Edmonton,Total - Time arriving at work,    Active transportation,85.0
0120.01 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0120.02 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",1390.0
0120.02 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",65.0
0120.02 - Edmonton,Total - Time arriving at work,    Public transit,15.0
0120.02 - Edmonton,Total - Time arriving at work,    Active transportation,45.0
0120.02 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0120.03 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",990.0
0120.03 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",110.0
0120.03 - Edmonton,Total - Time arriving at work,    Public transit,35.0
0120.03 - Edmonton,Total - Time arriving at work,    Active transportation,35.0
0120.03 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0120.05 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",1085.0
0120.05 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",140.0
0120.05 - Edmonton,Total - Time arriving at work,    Public transit,45.0
0120.05 - Edmonton,Total - Time arriving at work,    Active transportation,80.0
0120.05 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0120.07 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",160.0
0120.07 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0120.07 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0120.07 - Edmonton,Total - Time arriving at work,    Active transportation,45.0
0120.07 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0120.09 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",210.0
0120.09 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0120.09 - Edmonton,Total - Time arriving at work,    Public transit,10.0
0120.09 - Edmonton,Total - Time arriving at work,    Active transportation,20.0
0120.09 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0120.10 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",530.0
0120.10 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",40.0
0120.10 - Edmonton,Total - Time arriving at work,    Public transit,15.0
0120.10 - Edmonton,Total - Time arriving at work,    Active transportation,85.0
0120.10 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0121.02 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",385.0
0121.02 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0121.02 - Edmonton,Total - Time arriving at work,    Public transit,15.0
0121.02 - Edmonton,Total - Time arriving at work,    Active transportation,60.0
0121.02 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0121.03 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",140.0
0121.03 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0121.03 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0121.03 - Edmonton,Total - Time arriving at work,    Active transportation,35.0
0121.03 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0121.04 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",255.0
0121.04 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",15.0
0121.04 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0121.04 - Edmonton,Total - Time arriving at work,    Active transportation,60.0
0121.04 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0121.06 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",2880.0
0121.06 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",210.0
0121.06 - Edmonton,Total - Time arriving at work,    Public transit,80.0
0121.06 - Edmonton,Total - Time arriving at work,    Active transportation,60.0
0121.06 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0121.10 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",1145.0
0121.10 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0121.10 - Edmonton,Total - Time arriving at work,    Public transit,15.0
0121.10 - Edmonton,Total - Time arriving at work,    Active transportation,0.0
0121.10 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0121.11 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",500.0
0121.11 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",65.0
0121.11 - Edmonton,Total - Time arriving at work,    Public transit,15.0
0121.11 - Edmonton,Total - Time arriving at work,    Active transportation,35.0
0121.11 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0121.12 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",320.0
0121.12 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",40.0
0121.12 - Edmonton,Total - Time arriving at work,    Public transit,50.0
0121.12 - Edmonton,Total - Time arriving at work,    Active transportation,20.0
0121.12 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0121.13 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",120.0
0121.13 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0121.13 - Edmonton,Total - Time arriving at work,    Public transit,10.0
0121.13 - Edmonton,Total - Time arriving at work,    Active transportation,20.0
0121.13 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0121.14 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",215.0
0121.14 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",20.0
0121.14 - Edmonton,Total - Time arriving at work,    Public transit,25.0
0121.14 - Edmonton,Total - Time arriving at work,    Active transportation,0.0
0121.14 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0121.15 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",85.0
0121.15 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0121.15 - Edmonton,Total - Time arriving at work,    Public transit,10.0
0121.15 - Edmonton,Total - Time arriving at work,    Active transportation,0.0
0121.15 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0121.16 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",395.0
0121.16 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",20.0
0121.16 - Edmonton,Total - Time arriving at work,    Public transit,25.0
0121.16 - Edmonton,Total - Time arriving at work,    Active transportation,0.0
0121.16 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0121.17 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",390.0
0121.17 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",40.0
0121.17 - Edmonton,Total - Time arriving at work,    Public transit,10.0
0121.17 - Edmonton,Total - Time arriving at work,    Active transportation,25.0
0121.17 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0121.18 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",1050.0
0121.18 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",135.0
0121.18 - Edmonton,Total - Time arriving at work,    Public transit,130.0
0121.18 - Edmonton,Total - Time arriving at work,    Active transportation,45.0
0121.18 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0140.04 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",3020.0
0140.04 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",55.0
0140.04 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0140.04 - Edmonton,Total - Time arriving at work,    Active transportation,100.0
0140.04 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",20.0
0140.08 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",2925.0
0140.08 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",240.0
0140.08 - Edmonton,Total - Time arriving at work,    Public transit,95.0
0140.08 - Edmonton,Total - Time arriving at work,    Active transportation,150.0
0140.08 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0140.09 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",210.0
0140.09 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",40.0
0140.09 - Edmonton,Total - Time arriving at work,    Public transit,10.0
0140.09 - Edmonton,Total - Time arriving at work,    Active transportation,25.0
0140.09 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0140.10 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",320.0
0140.10 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",25.0
0140.10 - Edmonton,Total - Time arriving at work,    Public transit,30.0
0140.10 - Edmonton,Total - Time arriving at work,    Active transportation,65.0
0140.10 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0140.11 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",785.0
0140.11 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",15.0
0140.11 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0140.11 - Edmonton,Total - Time arriving at work,    Active transportation,0.0
0140.11 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0140.12 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",1440.0
0140.12 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",65.0
0140.12 - Edmonton,Total - Time arriving at work,    Public transit,35.0
0140.12 - Edmonton,Total - Time arriving at work,    Active transportation,0.0
0140.12 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0140.13 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",2320.0
0140.13 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",80.0
0140.13 - Edmonton,Total - Time arriving at work,    Public transit,30.0
